gender,age_group,component,column_name,p5,p10,p25,p50,p75,p90,p95,mean,std,count
F,10-19세,근력,MESURE_IEM_008_VALUE,13.4,15.4,19.1,23.3,27.3,31.0,33.3,23.31522705768888,6.05799185603278,218777
F,10-19세,심폐지구력,MESURE_IEM_020_VALUE,10.0,12.0,17.0,26.0,41.0,60.0,72.0,31.402075820351786,19.777073811364208,189949
F,10-19세,코어,MESURE_IEM_019_VALUE,8.0,14.0,23.0,32.0,41.0,49.0,53.0,31.615562999227002,13.438055238415826,19405
F,10-19세,유연성,MESURE_IEM_012_VALUE,-5.0,0.2,6.5,13.1,19.5,24.2,27.0,12.503594029891751,9.566065110502851,218388
F,10-19세,민첩성,MESURE_IEM_022_VALUE,102.0,110.0,125.0,145.0,162.0,178.0,186.0,143.82483900747783,26.900146942799623,171039
F,10-19세,체성분,MESURE_IEM_018_VALUE,16.001845843648766,16.93273490026837,18.62682262457939,20.756934511029094,23.477584555491653,26.813148273929947,29.306310236391266,21.445349059178092,4.145723786061633,219066
F,20-29세,근력,MESURE_IEM_008_VALUE,20.0,21.6,24.0,26.9,29.9,32.8,34.8,27.067428589604933,4.594446619391637,62876
F,20-29세,심폐지구력,MESURE_IEM_020_VALUE,10.0,13.0,17.0,23.0,30.0,33.0,39.0,23.491411307725507,10.015282673794493,11585
F,20-29세,코어,MESURE_IEM_019_VALUE,8.0,13.0,21.0,28.0,36.0,43.0,47.0,28.307355460039428,11.719172861265736,61886
F,20-29세,유연성,MESURE_IEM_012_VALUE,1.0,5.6,11.8,17.2,21.7,25.5,27.7,16.19493991665859,8.217430390432838,61914
F,20-29세,민첩성,MESURE_IEM_022_VALUE,120.0,129.0,144.0,158.0,171.0,183.0,191.0,156.99021827350794,22.647039887003768,42039
F,20-29세,체성분,MESURE_IEM_018_VALUE,17.228772273688914,17.828665124323347,18.844030632915246,20.225928674144367,22.12481470467685,24.691334357870023,26.823032541029708,20.871315783970772,3.101198883048968,62902
F,30-39세,근력,MESURE_IEM_008_VALUE,19.1,21.0,23.9,27.1,30.3,33.5,35.5,27.135118801957432,5.091581641066196,16961
F,30-39세,심폐지구력,MESURE_IEM_020_VALUE,7.0,9.0,13.0,19.0,26.0,34.0,41.0,20.690210249671484,10.98834067158913,3044
F,30-39세,코어,MESURE_IEM_019_VALUE,6.0,11.0,19.0,27.0,34.0,41.0,46.0,26.547496000984374,11.64484177933149,16254
F,30-39세,유연성,MESURE_IEM_012_VALUE,-3.0,2.5,9.4,15.8,20.9,24.6,26.9,14.469576401252379,9.032793773356461,16289
F,30-39세,민첩성,MESURE_IEM_022_VALUE,110.0,120.0,134.0,150.0,165.0,178.0,185.0,148.7713816957752,24.86688449619518,10249
F,30-39세,체성분,MESURE_IEM_018_VALUE,18.247841511712394,18.918115372151313,20.140979546122477,21.862316903095937,24.216987367265823,27.289853147532476,29.497118253435477,22.591676203042525,3.5928593463084373,16969
F,40-49세,근력,MESURE_IEM_008_VALUE,19.3,21.0,23.8,27.0,30.2,33.2,35.0,27.009740006654305,4.960704496301051,21039
F,40-49세,심폐지구력,MESURE_IEM_020_VALUE,7.0,8.0,11.0,15.0,21.0,28.0,33.0,17.033585724620206,9.247340403042026,4147
F,40-49세,코어,MESURE_IEM_019_VALUE,2.0,7.0,15.0,23.0,31.0,37.0,41.0,22.970152165431134,11.337711951364591,20504
